cust_id,recency,frequency,monetary,avg_order_value,spend_per_day,loyalty_score
4.0,2,41,78200.5,1907.3292682926829,26066.833333333332,3206220.5
15.0,232,6,415.1,69.18333333333334,1.7815450643776825,2490.6000000000004
16.0,323,20,29096.8,1454.84,89.80493827160494,581936.0
20.0,2,11,63189.4,5744.49090909091,21063.133333333335,695083.4
21.0,240,1,126.0,126.0,0.5228215767634855,126.0
23.0,55,6,1548.28,258.0466666666667,27.64785714285714,9289.68
28.0,133,11,8806.6,800.6,65.72089552238806,96872.6
32.0,13,230,302420.9,1314.8734782608697,21601.492857142857,69556807.0
33.0,41,132,147877.4,1120.2833333333333,3520.890476190476,19519816.8
41.0,317,1,439.8,439.8,1.3830188679245283,439.8
44.0,85,9,26073.0,2897.0,303.1744186046512,234657.0
47.0,67,32,48803.7,1525.115625,717.7014705882352,1561718.4
54.0,48,72,57059.6,792.4944444444444,1164.4816326530613,4108291.1999999997
56.0,56,233,297063.7,1274.9515021459229,5211.643859649123,69215842.10000001
58.0,93,17,51603.600000000006,3035.5058823529416,548.9744680851064,877261.2000000001
62.0,328,4,1400.0,350.0,4.25531914893617,5600.0
64.0,116,156,369260.35000000003,2367.0535256410258,3156.071367521368,57604614.60000001
70.0,148,2,214.54000000000002,107.27000000000001,1.4398657718120806,429.08000000000004
71.0,15,56,21585.0,385.44642857142856,1349.0625,1208760.0
75.0,103,20,8409.1,420.45500000000004,80.85673076923078,168182.0
79.0,283,4,11074.2,2768.55,38.99366197183099,44296.8
81.0,167,7,5372.2,767.4571428571428,31.97738095238095,37605.4
85.0,328,6,12042.0,2007.0,36.60182370820669,72252.0
88.0,281,3,399.40000000000003,133.13333333333335,1.4163120567375889,1198.2
93.0,285,3,1579.8,526.6,5.523776223776224,4739.4
96.0,202,2,455.4,227.7,2.2433497536945812,910.8
97.0,53,6,334.2,55.699999999999996,6.188888888888889,2005.1999999999998
98.0,118,16,1365.4,85.3375,11.473949579831933,21846.4
100.0,245,2,718.0,359.0,2.9186991869918697,1436.0
102.0,284,4,489.20000000000005,122.30000000000001,1.7164912280701756,1956.8000000000002
111.0,54,104,7552.8,72.62307692307692,137.32363636363635,785491.2000000001
114.0,67,106,217653.1,2053.331132075472,3200.7808823529413,23071228.6
126.0,231,6,4698.6,783.1,20.252586206896552,28191.600000000002
131.0,278,1,399.8,399.8,1.4329749103942653,399.8
132.0,246,9,10111.7,1123.5222222222224,40.93805668016195,91005.3
135.0,195,9,1769.2,196.57777777777778,9.026530612244898,15922.800000000001
141.0,85,25,6357.7,254.308,73.9267441860465,158942.5
144.0,160,78,102663.5,1316.198717948718,637.6614906832298,8007753.0
151.0,305,1,200.0,200.0,0.6535947712418301,200.0
153.0,249,1,170.4,170.4,0.6816,170.4
163.0,17,42,21691.1,516.4547619047619,1205.0611111111111,911026.2
168.0,68,82,53604.526,653.713731707317,776.877188405797,4395571.132
172.0,15,8,1762.7,220.3375,110.16875,14101.6
174.0,214,4,9771.0,2442.75,45.44651162790698,39084.0
180.0,107,5,21590.4,4318.08,199.91111111111113,107952.0
199.0,301,2,220.0,110.0,0.7284768211920529,440.0
210.0,89,19,33224.0,1748.6315789473683,369.15555555555557,631256.0
219.0,2,71,15265.2,215.00281690140847,5088.400000000001,1083829.2
225.0,210,39,253059.5,6488.705128205128,1199.3341232227488,9869320.5
230.0,17,98,211998.2,2163.2469387755104,11777.677777777779,20775823.6
232.0,257,2,238.4,119.2,0.924031007751938,476.8
236.0,272,4,12541.0,3135.25,45.937728937728934,50164.0
241.0,82,11,1597.8000000000002,145.25454545454548,19.250602409638557,17575.800000000003
243.0,107,15,42770.6,2851.3733333333334,396.02407407407406,641559.0
247.0,40,14,626.6,44.75714285714286,15.282926829268293,8772.4
248.0,181,1,200.4,200.4,1.1010989010989012,200.4
249.0,34,1,397.2,397.2,11.348571428571429,397.2
251.0,177,5,59907.9,11981.58,336.5612359550562,299539.5
252.0,280,3,10089.8,3363.2666666666664,35.9067615658363,30269.399999999998
256.0,2,16,6300.9,393.80625,2100.2999999999997,100814.4
261.0,244,6,450.45000000000005,75.075,1.8385714285714287,2702.7000000000003
262.0,276,9,29473.0,3274.777777777778,106.40072202166066,265257.0
265.0,5,51,14152.5,277.5,2358.75,721777.5
267.0,285,3,294.8,98.26666666666667,1.0307692307692309,884.4000000000001
280.0,265,1,24531.0,24531.0,92.2218045112782,24531.0
282.0,191,42,95787.9,2280.6642857142856,498.8953125,4023091.8
288.0,253,2,912.4,456.2,3.5921259842519686,1824.8
292.0,12,59,202168.4,3426.5830508474573,15551.415384615384,11927935.6
294.0,109,12,10541.9,878.4916666666667,95.83545454545454,126502.79999999999
296.0,260,4,243.2,60.8,0.9318007662835248,972.8
297.0,278,1,261.6,261.6,0.9376344086021506,261.6
299.0,136,11,2245.35,204.12272727272727,16.38941605839416,24698.85
300.0,246,1,39.6,39.6,0.16032388663967612,39.6
302.0,207,2,59.8,29.9,0.2875,119.6
306.0,215,1,89.6,89.6,0.4148148148148148,89.6
307.0,323,1,159.8,159.8,0.4932098765432099,159.8
329.0,77,13,1321.7,101.66923076923078,16.944871794871794,17182.100000000002
334.0,128,3,262.0,87.33333333333333,2.0310077519379846,786.0
